,ID,Name,Other Name,Category,Score,TDSHV,Bookmarks,Reviews,LOD,Price Range,Location,Location 2,Address,URL
421,r760030,名小館,MOST KITCHEN,"['Hong Kong Style', 'Soup', 'Chinese BBQ', 'Tea Restaurant']",N/A,[],11,N/A,"['1', '0', '0']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop 102,103A&103B, 1/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-most-kitchen-lai-chi-kok-hong-kong-style-soup-r760030
422,r517129,銘翠軒餐廳,,"['Guangdong', 'Tea Restaurant']",3.5,"['30', '30', '30', '30', '30']",231,7 Reviews,"['2', '1', '1']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 4C-4E, G/F, Banyan Mall, 863 Lai Chi Kok Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-%E9%8A%98%E7%BF%A0%E8%BB%92%E9%A4%90%E5%BB%B3-lai-chi-kok-guangdong-r517129
423,r579432,OK便利店 Hot & In 美食吧,Circle K Hot & In Steam Station,"['Hong Kong Style', 'Snack Shop & Deli']",3,"['30', '30', '30', '30', '40']",19,3 Reviews,"['1', '2', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop G03, G/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-circle-k-hot-in-steam-station-lai-chi-kok-hong-kong-style-r579432
424,-r31018,必勝客,Pizza Hut,"['Italian', 'Pizza']",3.5,"['30', '30', '30', '30', '30']",365,34 Reviews,"['18', '8', '3']",$101-200,Lai Chi Kok,Lai Chi Kok,"Shop 89-90, 2/F, The Pacifica Mall, 9 Sham Shing Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-pizza-hut-lai-chi-kok-italian-pizza-r31018
425,r612380,LHC Coffee (嘉名工業大廈),,"['Western', 'Coffee Shop']",2,"['20', '20', '20', '20', '10']",491,5 Reviews,"['0', '1', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop A3, G/F, Kaming Factory Building, 688-690 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-lhc-coffee-lai-chi-kok-western-r612380
426,r672250,和田便當,Wada Bento,"['Japanese', 'Vending Machine']",N/A,[],23,N/A,"['1', '0', '0']",$51-100,Lai Chi Kok,Lai Chi Kok,"5/F, PCCW Sports Complex, 2 Yuet Lun Street, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-wada-bento-lai-chi-kok-japanese-r672250
427,-r47727,永泰小食,,"['Hong Kong Style', 'Snack Shop & Deli']",3.5,"['30', '20', '30', '30', '40']",198,6 Reviews,"['3', '1', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 25 Winsum Industrial Building, 558 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-%E6%B0%B8%E6%B3%B0%E5%B0%8F%E9%A3%9F-lai-chi-kok-hong-kong-style-r47727
428,r621807,AEON Supermarket,,['International'],4.5,"['40', '40', '40', '40', '40']",31,3 Reviews,"['2', '0', '0']",Below $50,Lai Chi Kok,Lai Chi Kok,"G-2/F, Aquamarine, 8 Sham Shing Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-aeon-supermarket-lai-chi-kok-international-r621807
429,r734068,君日餐廳 (荔枝角),Sunshine Restaurant (Lai Chi Kok),"['Hong Kong Style', 'Tea Restaurant']",3,"['20', '30', '30', '30', '20']",110,11 Reviews,"['3', '1', '1']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop 2, G/F, Clifford Centre, 782 Cheung Sha Wan Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-sunshine-restaurant-lai-chi-kok-hong-kong-style-r734068
430,-r38676,長江飲食中心,,"['Hong Kong Style', 'Tea Restaurant']",3,"['30', '20', '20', '20', '30']",187,28 Reviews,"['9', '9', '4']",Below $50,Lai Chi Kok,Lai Chi Kok,"Shop 8, G/F, Hong Kong Industrial Centre Block A, 489 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-%E9%95%B7%E6%B1%9F%E9%A3%B2%E9%A3%9F%E4%B8%AD%E5%BF%83-lai-chi-kok-hong-kong-style-r38676
431,r722004,MY湯 (荔枝角),,"['Hong Kong Style', 'Dessert', 'Sweet Soup', 'Snack Shop & Deli']",4,"['40', '40', '40', '40', '30']",121,4 Reviews,"['2', '0', '1']",$51-100,Lai Chi Kok,Lai Chi Kok,"Shop C1- J, G/F, Block C, Hong Kong Industrial Centre , 489-491 Castle Peak Road, Lai Chi Kok",https://www.openrice.com/en/hongkong/r-my%E6%B9%AF-lai-chi-kok-hong-kong-style-dessert-r722004
